NAME,PER,A,R,FIRSTREF,FIRSTURL,COMP,STAR
KOI 343.03,41.80925,0.235,1.5800000000054524,,,03,KOI 343
KOI 1061.01,41.81287,0.234,2.400000000008282,,,01,KOI 1061
KOI 542.01,41.88574,0.229,2.6000000000089725,,,01,KOI 542
KOI 1338.02,42.04,0.233,1.6400000000056594,,,02,KOI 1338
KOI 4399.01,42.10027,0.255296,3.5000000000120775,,,01,KOI 4399
Kepler-55 c,42.1516418,0.202122,2.2080234872454176,Batalha 2013,http://adsabs.harvard.edu/abs/2013ApJS..204...24B,c,Kepler-55
KOI 2152.01,42.19301,0.232,2.0400000000070397,,,01,KOI 2152
KOI 2134.01,42.3002,0.23,2.300000000007937,,,01,KOI 2134
KOI 2124.01,42.33711,0.199,1.0500000000036234,,,01,KOI 2124
KOI 2094.01,42.42227,0.222,2.200000000007592,,,01,KOI 2094
KOI 1952.04,42.4699,0.239,2.010000000006936,,,04,KOI 1952
KOI 3053.01,42.52046,0.239,2.53000000000873,,,01,KOI 3053
Kepler-31 c,42.6318,0.254502,4.196250071337859,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,c,Kepler-31
KOI 370.01,42.88255,0.261,4.320000000014908,,,01,KOI 370
KOI 148.03,42.89592,0.23,2.350000000008109,,,03,KOI 148
KOI 3277.01,42.91386,0.242023,1.200000000004141,,,01,KOI 3277
KOI 427.02,42.95011,0.227,2.7000000000093176,,,02,KOI 427
KOI 2672.02,42.99066,0.228,3.5000000000120775,,,02,KOI 2672
KOI 1854.01,43.03252,0.232,3.1400000000108355,,,01,KOI 1854
KOI 3069.01,43.1028,0.23,1.8000000000062115,,,01,KOI 3069
KOI 1052.04,43.13,0.252,2.6000000000089725,,,04,KOI 1052
KOI 1732.01,43.31688,0.237,3.200000000011043,,,01,KOI 1732
KOI 3573.01,43.5622461,0.255006,45.500000000157016,,,01,KOI 3573
KOI 448.02,43.60891,0.208,2.890000000009973,,,02,KOI 448
KOI 116.02,43.84445,0.244,2.520000000008696,,,02,KOI 116
KOI 518.02,44.00045,0.206,1.4700000000050728,,,02,KOI 518
KOI 2291.01,44.29229,0.237,2.300000000007937,,,01,KOI 2291
KOI 1278.02,44.34713,0.252,3.1000000000106973,,,02,KOI 1278
KOI 1930.03,44.4315,0.254,2.460000000008489,,,03,KOI 1930
KOI 1589.05,44.55208,0.247,2.020000000006971,,,05,KOI 1589
KOI 2696.02,44.56505,0.278,3.000000000010352,,,02,KOI 2696
KOI 2786.01,44.61679,0.27,2.5000000000086273,,,01,KOI 2786
KOI 4123.01,44.62492,0.255231,1.500000000005176,,,01,KOI 4123
KOI 711.01,44.6991,0.248,3.190000000011008,,,01,KOI 711
KOI 4630.01,44.7,0.245405,1.500000000005176,,,01,KOI 4630
KOI 1567.04,44.8418,0.242,2.8100000000096967,,,04,KOI 1567
KOI 1307.01,44.85199,0.241,3.1000000000106973,,,01,KOI 1307
KOI 3045.01,44.8686,0.251,2.200000000007592,,,01,KOI 3045
KOI 1444.01,44.93128,0.261,3.5000000000120775,,,01,KOI 1444
KOI 1726.01,44.96393,0.217,1.8400000000063494,,,01,KOI 1726
KOI 4500.02,44.9851,0.242697,2.400000000008282,,,02,KOI 4500
KOI 2631.01,44.9995,0.253,1.6000000000055214,,,01,KOI 2631
KOI 2482.01,45.0887,0.245,1.9600000000067637,,,01,KOI 2482
KOI 2423.01,45.1257,0.264,2.0900000000072123,,,01,KOI 2423
Kepler-51 b,45.1555023,0.248169,7.043701073360405,Borucki 2011,http://adsabs.harvard.edu/abs/2011ApJ...736...19B,b,Kepler-51
Kepler-10 c,45.29485,0.239651,2.2268994107963183,Batalha 2011,http://adsabs.harvard.edu/abs/2011ApJ...729...27B,c,Kepler-10
KOI 2414.02,45.347,0.248,1.3300000000045897,,,02,KOI 2414
KOI 719.03,45.9,0.225,1.180000000004072,,,03,KOI 719
KOI 319.01,46.15159,0.269,7.500000000025881,,,01,KOI 319
KOI 2900.01,46.15186,0.232,2.0000000000069016,,,01,KOI 2900
KOI 812.03,46.18288,0.21,2.0000000000069016,,,03,KOI 812
KOI 1856.01,46.29494,0.245,4.350000000015011,,,01,KOI 1856
KOI 722.01,46.4073,0.264,2.64000000000911,,,01,KOI 722
Kepler-11 f,46.68876,0.249453,2.6099999542183405,Lissauer 2011,http://adsabs.harvard.edu/abs/2011Natur.470...53L,f,Kepler-11
KOI 3620.01,46.698214,0.251664,34.90000000012043,,,01,KOI 3620
KOI 3493.01,46.71339,0.256988,1.8000000000062115,,,01,KOI 3493
KOI 250.04,46.82787,0.218,2.9800000000102833,,,04,KOI 250
KOI 2024.01,46.87882,0.25,2.300000000007937,,,01,KOI 2024
KOI 431.02,46.90191,0.238,2.800000000009662,,,02,KOI 431
KOI 3316.01,47.0566,0.241202,2.9000000000100075,,,01,KOI 3316
KOI 3375.01,47.05668,0.259468,3.1000000000106973,,,01,KOI 3375
KOI 3891.01,47.10958,0.28877,7.400000000025536,,,01,KOI 3891
KOI 3835.01,47.14861,0.248353,6.600000000022775,,,01,KOI 3835
KOI 2714.02,47.31319,0.272,2.400000000008282,,,02,KOI 2714
KOI 999.02,47.33465,0.238,2.890000000009973,,,02,KOI 999
KOI 2445.01,47.3635,0.259,2.9000000000100075,,,01,KOI 2445
KOI 612.02,47.42624,0.236,2.9000000000100075,,,02,KOI 612
KOI 2964.01,47.4496,0.255,1.5700000000054177,,,01,KOI 2964
KOI 2417.01,47.7087,0.224,2.960000000010214,,,01,KOI 2417
KOI 718.03,47.90421,0.272,2.6700000000092134,,,03,KOI 718
KOI 3288.01,47.98749,0.247115,2.9000000000100075,,,01,KOI 3288
KOI 3432.01,48.0517,0.239964,1.3000000000044862,,,01,KOI 3432
KOI 2497.01,48.4308,0.235,2.300000000007937,,,01,KOI 2497
KOI 271.01,48.63057,0.282,2.5100000000086613,,,01,KOI 271
KOI 1203.03,48.6541,0.265,2.800000000009662,,,03,KOI 1203
KOI 2535.01,48.89276,0.234,1.6000000000055214,,,01,KOI 2535
KOI 138.01,48.937964,0.297,23.300000000080402,,,01,KOI 138
KOI 1933.01,49.10146,0.259,2.6000000000089725,,,01,KOI 1933
KOI 119.01,49.18431,0.252,3.9000000000134576,,,01,KOI 119
KOI 3282.01,49.27707,0.215502,2.1000000000072467,,,01,KOI 3282
KOI 285.03,49.35899,0.278,1.8400000000063494,,,03,KOI 285
KOI 523.01,49.41243,0.271,7.100000000024501,,,01,KOI 523
KOI 4391.01,49.4711,0.264919,1.6000000000055214,,,01,KOI 4391
KOI 1281.01,49.47779,0.261,2.0000000000069016,,,01,KOI 1281
KOI 2073.01,49.50081,0.237,2.200000000007592,,,01,KOI 2073
Kepler-47 b,49.514,0.267621,2.977340670732663,Orosz 2012,http://adsabs.harvard.edu/abs/2012Sci...337.1511O,b,Kepler-47
KOI 4226.01,49.56516,0.260354,1.7000000000058664,,,01,KOI 4226
KOI 624.02,49.5668,0.26,2.6300000000090757,,,02,KOI 624
KOI 1841.01,49.60805,0.243,2.400000000008282,,,01,KOI 1841
KOI 3413.01,49.6127525,0.273727,53.50000000018462,,,01,KOI 3413
KOI 1848.01,49.62473,0.275,2.400000000008282,,,01,KOI 1848
KOI 1727.01,49.76999,0.263,5.800000000020015,,,01,KOI 1727
KOI 1275.01,50.28578,0.256,3.200000000011043,,,01,KOI 1275
KOI 834.05,50.4454,0.265,2.0000000000069016,,,05,KOI 834
KOI 590.02,50.69852,0.28,2.960000000010214,,,02,KOI 590
KOI 209.01,50.790563,0.284,8.750000000030195,,,01,KOI 209
KOI 112.01,51.07931,0.273,2.8600000000098693,,,01,KOI 112
KOI 1221.02,51.0802,0.276,2.2100000000076263,,,02,KOI 1221
KOI 2536.01,51.1295,0.272,2.7000000000093176,,,01,KOI 2536
KOI 245.04,51.1988,0.246,0.4300000000014838,,,04,KOI 245
KOI 1651.01,51.3002,0.274,2.7000000000093176,,,01,KOI 1651
KOI 2108.01,51.3292,0.274,3.4000000000117327,,,01,KOI 2108
KOI 1656.01,51.39,0.274,2.200000000007592,,,01,KOI 1656
KOI 880.02,51.53005,0.264,5.300000000018289,,,02,KOI 880
KOI 2613.01,51.57394,0.257,2.6000000000089725,,,01,KOI 2613
KOI 1095.01,51.59845,0.266,8.500000000029331,,,01,KOI 1095
KOI 111.03,51.75627,0.253,2.360000000008144,,,03,KOI 111
KOI 1831.01,51.80403,0.258,2.5000000000086273,,,01,KOI 1831
KOI 398.01,51.846913,0.25,8.10000000002795,,,01,KOI 398
KOI 1355.01,51.92981,0.269,5.200000000017945,,,01,KOI 1355
KOI 1677.01,52.06986,0.269,2.1800000000075226,,,01,KOI 1677
KOI 152.01,52.09043,0.288,6.9000000000238115,,,01,KOI 152
KOI 1299.01,52.50128,0.303,9.600000000033129,,,01,KOI 1299
KOI 686.01,52.513565,0.262,11.40000000003934,,,01,KOI 686
KOI 976.01,52.56909,0.337,89.00000000030712,,,01,KOI 976
